,Month,Filename,INSTITUTIONCODE,REPORTINGDATE,FILES_RECEIPTS,EDI_RECEIPTS,BSIS_RECEIPTS,BSIS_FINAL_RECEIPTS
0,April,A1241078300424.xls,A124,30/04/2024,235,1394,1159,1159
1,April,A1251078300424.xls,A125,30/04/2024,402,1972,1570,1570
2,April,A1281078300424.xls,A128,30/04/2024,291,486,291,195
3,April,A1291078300424.xls,A129,30/04/2024,9746,14726,9746,4980
4,April,A1341078300424.xls,A134,30/04/2024,100,155,100,55
5,April,A1361078300424.xls,A136,30/04/2024,16,17,16,1
6,April,A1381078300424.xls,A138,30/04/2024,38,100,62,62
7,April,A1411078300424.xls,A141,30/04/2024,8,56,48,48
8,April,A1481078300424.xls,A148,30/04/2024,91,197,106,106
9,April,A1491078300424.xls,A149,30/04/2024,589,380,380,380
10,April,A1501078300424.xls,A150,30/04/2024,3575,3214,3214,3214
11,April,A1511078300424.xls,A151,30/04/2024,954,1678,1678,1678
12,April,A1521078300424.xls,A152,30/04/2024,20,8,8,8
13,April,A1551078300424.xls,A155,30/04/2024,311,739,739,739
14,April,A1581078300424.xls,A158,30/04/2024,2815,1551,1551,1551
15,April,A1601078300424.xls,A160,30/04/2024,1,10,10,
16,April,A1631078300424.xls,A163,30/04/2024,46,38,38,38
17,April,A1671078300424.xls,A167,30/04/2024,13,8,8,8
18,April,A1701078300424.xls,A170,30/04/2024,6,13,13,13
19,April,A1711078300424.xls,A171,30/04/2024,33,24,24,24
20,April,A1741078300424.xls,A174,30/04/2024,1,45,45,45
21,April,A1761078300424.xls,A176,30/04/2024,110,147,147,147
22,April,A1831078300424.xls,A183,30/04/2024,95,53,53,53
23,April,A1841078300424.xls,A184,30/04/2024,1722,800,800,800
24,April,A1891078300424.xls,A189,30/04/2024,1,,,
25,April,A1961078300424.xls,A196,30/04/2024,11,20,20,20
26,April,A1991078300424.xls,A199,30/04/2024,96,1,1,1
27,February,A1241078290224.xls,A124,29/02/2024,258,1300,1042,1042
28,February,A1251078290224.xls,A125,29/02/2024,613,1575,962,962
29,February,A1281078290224.xls,A128,29/02/2024,299,509,299,210
30,February,A1291078290224.xls,A129,29/02/2024,10754,10755,10754,1
31,February,A1341078290224.xls,A134,29/02/2024,101,161,101,60
32,February,A1361078290224.xls,A136,29/02/2024,16,353,337,337
33,February,A1381078290224.xls,A138,29/02/2024,37,139,102,102
