,INSTITUTIONCODE,REPORTINGDATE,DESCRIPTIONNO,PARTICULARS,AMOUNT
0,M716,2024-06-30,9,    (a )Treasury Bills,0.0
1,M716,2024-06-30,10,    (b) Other Government Securities,0.0
2,M716,2024-06-30,12,    (d) Others,0.0
3,M393,2024-06-30,45,           (iii) Other Borrowings,0.0
4,M393,2024-06-30,59,    (h) Profit/Loss,0.0
5,M631,2024-06-30,11,    (c) Private Securities,0.0
6,M392,2024-06-30,17,4. LOANS - NET (sum a:d less e),220812900.0
7,M631,2024-06-30,1,1. CASH AND CASH EQUIVALENTS (sum a:d),6390000.0
8,M392,2024-06-30,27,    (a) Receivables,4314600.0
9,M392,2024-06-30,8,2. INVESTMENT IN DEBT SECURITIES - NET (Sum a:d minus e),0.0
10,M393,2024-06-30,8,2. INVESTMENT IN DEBT SECURITIES - NET (Sum a:d minus e),0.0
11,M631,2024-06-30,50,14. TOTAL LIABILITIES (sum 9:13),0.0
12,M392,2024-06-30,19,     (b) Loan to Staff and Related Parties,0.0
13,M393,2024-06-30,7,    (d) MNOs Float  Balances,0.0
14,M393,2024-06-30,29,    (c )Deffered Tax Assets,0.0
15,M393,2024-06-30,35,9.  BORROWINGS (sum a:b),0.0
16,M393,2024-06-30,39,          (iii) Borrowing from Shareholders   ,0.0
17,M631,2024-06-30,29,    (c )Deffered Tax Assets,0.0
18,M393,2024-06-30,46,10. CASH COLLATERAL/LOAN INSURANCE GUARANTEES/COMPULSORY SAVINGS,0.0
19,M631,2024-06-30,20,     (c)Loans to other Microfinance Service Providers,0.0
20,M392,2024-06-30,14,3. EQUITY INVESTMENTS - NET (a - b),0.0
21,M393,2024-06-30,57,    (f) General Reserves,0.0
22,M631,2024-06-30,18,     (a) Loans to Clients,36000000.0
23,M631,2024-06-30,39,          (iii) Borrowing from Shareholders   ,0.0
24,M631,2024-06-30,19,     (b) Loan to Staff and Related Parties,0.0
25,M392,2024-06-30,31,    (e) Miscellaneous Assets,0.0
26,M392,2024-06-30,50,14. TOTAL LIABILITIES (sum 9:13),100984680.0
27,M393,2024-06-30,9,    (a )Treasury Bills,0.0
28,M392,2024-06-30,40,          (iv) Borrowing from Public through Debt Securities ,0.0
29,M631,2024-06-30,24,"    (a) Property, Plant and Equipment",0.0
30,M392,2024-06-30,6,    (c ) Balances with Microfinance Service Providers,0.0
31,M393,2024-06-30,11,    (c) Private Securities,0.0
32,M393,2024-06-30,37,           (i) Borrowings from Banks and Financial Institutions ,0.0
33,M631,2024-06-30,4,(i) Non-Agent Banking  Balances,3140000.0
34,M631,2024-06-30,13,   (e) Allowance for Probable Losses (Deduction),0.0
35,M631,2024-06-30,47,11.TAX PAYABLES,0.0
36,M392,2024-06-30,16,    (b) Allowance for Probable Losses (Deduction),0.0
37,M393,2024-06-30,1,1. CASH AND CASH EQUIVALENTS (sum a:d),6608845.0
38,M393,2024-06-30,61,16. TOTAL LIABILITIES AND CAPITAL (14+15),21066479.0
39,M631,2024-06-30,48,12. DIVIDEND PAYABLES,0.0
40,M393,2024-06-30,16,    (b) Allowance for Probable Losses (Deduction),0.0
41,M392,2024-06-30,25,    (b) Accumulated Depreciation (Deduction),1200000.0
42,M393,2024-06-30,3,    (b) Balances with  Banks and Financial Institutions (sum i:ii),1708845.0
43,M393,2024-06-30,4,(i) Non-Agent Banking  Balances,0.0
44,M393,2024-06-30,33,7. TOTAL ASSETS ,21066479.0
45,M393,2024-06-30,41,          (v) Other Borrowings,0.0
46,M631,2024-06-30,14,3. EQUITY INVESTMENTS - NET (a - b),0.0
47,M392,2024-06-30,13,   (e) Allowance for Probable Losses (Deduction),0.0
48,M392,2024-06-30,23,"5. PROPERTY, PLANT AND EQUIPMENT -NET (a -b)",12500000.0
49,M393,2024-06-30,50,14. TOTAL LIABILITIES (sum 9:13),0.0
50,M631,2024-06-30,42,     (b)Borrowings from Abroad (sum i:iii),0.0
51,M631,2024-06-30,15,    (a) Equity Investment,0.0
52,M392,2024-06-30,20,     (c)Loans to other Microfinance Service Providers,0.0
53,M393,2024-06-30,25,    (b) Accumulated Depreciation (Deduction),0.0
54,M393,2024-06-30,26,6. OTHER ASSETS (sum a:e less f),1350000.0
55,M631,2024-06-30,28,    (b) Prepaid Expenses,0.0
56,M631,2024-06-30,32,    (f) Allowance for Probable Losses  (Deduction),0.0
57,M392,2024-06-30,61,16. TOTAL LIABILITIES AND CAPITAL (14+15),257287500.0
58,M393,2024-06-30,40,          (iv) Borrowing from Public through Debt Securities ,0.0
59,M631,2024-06-30,9,    (a )Treasury Bills,0.0
60,M393,2024-06-30,5,(ii) Agent-Banking Balances,1708845.0
61,M393,2024-06-30,38,          (ii) Borrowings from Other Microfinance Service Providers  ,0.0
62,M393,2024-06-30,52,    (a) Paid-up Ordinary Share Capital,20000000.0
63,M631,2024-06-30,35,9.  BORROWINGS (sum a:b),0.0
64,M631,2024-06-30,36,     (a)Borrowings in Tanzania (sum i:v),0.0
65,M392,2024-06-30,5,(ii) Agent-Banking Balances,0.0
66,M392,2024-06-30,52,    (a) Paid-up Ordinary Share Capital,100000000.0
67,M392,2024-06-30,48,12. DIVIDEND PAYABLES,0.0
68,M393,2024-06-30,44,           (ii) Borrowing from Shareholders   ,0.0
69,M631,2024-06-30,40,          (iv) Borrowing from Public through Debt Securities ,0.0
70,M631,2024-06-30,61,16. TOTAL LIABILITIES AND CAPITAL (14+15),42390000.0
71,M393,2024-06-30,43,           (i) Borrowings from Banks and Financial Institutions ,0.0
72,M393,2024-06-30,14,3. EQUITY INVESTMENTS - NET (a - b),0.0
73,M631,2024-06-30,2,    (a) Cash in Hand,3250000.0
74,M631,2024-06-30,43,           (i) Borrowings from Banks and Financial Institutions ,0.0
75,M392,2024-06-30,10,    (b) Other Government Securities,0.0
76,M392,2024-06-30,38,          (ii) Borrowings from Other Microfinance Service Providers  ,0.0
77,M393,2024-06-30,19,     (b) Loan to Staff and Related Parties,0.0
78,M631,2024-06-30,17,4. LOANS - NET (sum a:d less e),36000000.0
79,M393,2024-06-30,48,12. DIVIDEND PAYABLES,0.0
80,M631,2024-06-30,3,    (b) Balances with  Banks and Financial Institutions (sum i:ii),3140000.0
