,Filename,FILES_RECEIPTS,INSTITUTIONCODE,REPORTINGDATE,EDI_RECEIPTS,BSIS_RECEIPTS,BSIS_FINAL_RECEIPTS
0,A0011078290220.xls,1,A001,2020-02-29,,,
1,A0011078300420.xls,1,A001,2020-04-30,,,
2,A0011078310120.xls,1,A001,2020-01-31,,,
3,A0011078310320.xls,1,A001,2020-03-31,,,
4,A0011078310520.xls,1,A001,2020-05-31,,,
5,A0021078290220.xls,328,A002,2020-02-29,,,
6,A0021078310120.xls,2,A002,2020-01-31,,,
7,A0021078310320.xls,1,A002,2020-03-31,,,
8,A1241078280221.xls,222,A124,2021-02-28,222.0,222.0,222.0
9,A1241078280222.xls,241,A124,2022-02-28,241.0,241.0,241.0
10,A1241078280223.xls,244,A124,2023-02-28,244.0,244.0,244.0
11,A1241078290220.xls,Error: Number of passed names did not match number of header fields in the file (sheet: ITRS2_URT_RECEIPTS),,,,,
12,A1241078290224.xls,258,A124,2024-02-29,1300.0,1042.0,1042.0
13,A1241078300420.xls,239,A124,2020-04-30,239.0,239.0,239.0
14,A1241078300421.xls,295,A124,2021-04-30,295.0,295.0,295.0
15,A1241078300422.xls,243,A124,2022-04-30,243.0,243.0,243.0
16,A1241078300423.xls,244,A124,2023-04-30,244.0,244.0,244.0
17,A1241078300424.xls,235,A124,2024-04-30,1394.0,1159.0,1159.0
18,A1241078300620.xls,267,A124,2020-06-30,231.0,231.0,231.0
19,A1241078300621.xls,253,A124,2021-06-30,253.0,253.0,253.0
20,A1241078300622.xls,303,A124,2022-06-30,303.0,303.0,303.0
21,A1241078300623.xls,284,A124,2023-06-30,284.0,284.0,284.0
22,A1241078300624.xls,264,A124,2024-06-30,1146.0,1146.0,1146.0
23,A1241078300920.xls,258,A124,2020-09-30,1.0,1.0,1.0
24,A1241078300921.xls,260,A124,2021-09-30,260.0,260.0,260.0
25,A1241078300922.xls,271,A124,2022-09-30,271.0,271.0,271.0
26,A1241078300923.xls,260,A124,2023-09-30,260.0,260.0,260.0
27,A1241078300924.xls,262,A124,2024-09-30,262.0,262.0,262.0
28,A1241078301120.xls,286,A124,2020-11-30,286.0,286.0,286.0
29,A1241078301121.xls,316,A124,2021-11-30,316.0,316.0,316.0
30,A1241078301122.xls,276,A124,2022-11-30,276.0,276.0,276.0
31,A1241078301123.xls,308,A124,2023-11-30,308.0,308.0,308.0
32,A1241078301124.xls,244,A124,2024-11-30,244.0,244.0,244.0
33,A1241078310120.xls,Error: Number of passed names did not match number of header fields in the file (sheet: ITRS2_URT_RECEIPTS),,,,,
34,A1241078310121.xls,242,A124,2021-01-31,242.0,242.0,242.0
35,A1241078310122.xls,203,A124,2022-01-31,203.0,203.0,203.0
36,A1241078310123.xls,251,A124,2023-01-31,251.0,251.0,251.0
37,A1241078310124.xls,263,A124,2024-01-31,1360.0,1097.0,1097.0
38,A1241078310320.xls,68,A124,2020-03-31,68.0,68.0,68.0
39,A1241078310321.xls,247,A124,2021-03-31,247.0,247.0,247.0
